Station_Name,Latitude,Longitude,URL,CDD10,solar,Tdb,Twb,HDD18
Calgary Intl AP,51.11,-114.02,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Calgary.Intl.AP.718770_CWEC2020.zip,769,229,29,17,4981
Camrose,53.03,-112.81,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Camrose.712540_CWEC2020.zip,736,220,26,21,5583
Cardston,49.2,-113.29,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cardston.711530_CWEC2020.zip,909,257,31,19,4588
Champion AgDM,50.28,-113.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Champion.AgDM.712170_CWEC2020.zip,873,258,29,18,5071
Claresholm,50,-113.64,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Claresholm.712340_CWEC2020.zip,925,236,32,18,4856
Cleardale AgDM,56.31,-119.74,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cleardale.AgDM.712210_CWEC2020.zip,674,212,28,18,5933
Cold Lake AP,54.42,-110.23,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cold.Lake.AP.711200_CWEC2020.zip,856,200,29,20,5680
Consort AgDM,51.94,-110.71,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Consort.AgDM.712230_CWEC2020.zip,800,230,31,19,5583
Cop Upper,51.08,-114.22,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cop.Upper.712350_CWEC2020.zip,726,234,27,16,4998
Coronation Climate,52.07,-111.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Coronation.Climate.713180_CWEC2020.zip,758,220,30,19,5816
Crowsnest,49.63,-114.48,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Crowsnest.712360_CWEC2020.zip,683,227,27,16,5097
Dapp AgDM,54.32,-113.95,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Dapp.AgDM.713400_CWEC2020.zip,682,212,25,20,6102
Del Bonita AgDM,49.05,-112.82,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Del.Bonita.AgDM.712240_CWEC2020.zip,734,256,28,19,4979
Drumheller East,51.45,-112.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Drumheller.East.712370_CWEC2020.zip,973,225,32,19,5218
Edmonton City Centre AWOS,53.57,-113.52,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Edmonton.City.Centre.AWOS.718790_CWEC2020.zip,889,218,27,20,4963
Edmonton Intl AP,53.31,-113.58,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Edmonton.Intl.AP.711230_CWEC2020.zip,723,226,26,20,5514
Edmonton Stony Plain CS,53.55,-114.11,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Edmonton.Stony.Plain.CS.711270_CWEC2020.zip,774,226,26,19,5272
Edson Climate,53.58,-116.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Edson.Climate.711560_CWEC2020.zip,606,198,26,18,5768
Elk Island Nat Park,53.68,-112.87,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Elk.Island.Nat.Park.712380_CWEC2020.zip,769,212,27,20,5663
Enchant AgDM,50.18,-112.43,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Enchant.AgDM.715180_CWEC2020.zip,976,257,30,21,4676
Esther,51.67,-110.21,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Esther.712400_CWEC2020.zip,948,225,30,19,5353
Fairview AgDM,56.08,-118.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Fairview.AgDM.713470_CWEC2020.zip,667,204,27,17,6053
Fincastle AgDM,49.8,-112.03,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Fincastle.AgDM.715350_CWEC2020.zip,1022,262,31,19,4565
Foremost AgDM,49.48,-111.49,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Foremost.AgDM.712250_CWEC2020.zip,1020,259,32,18,4662
Fort Chipewyan,58.77,-111.12,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Fort.Chipewyan.713050_CWEC2020.zip,813,191,28,18,6837
Fort Mcmurray AP,56.65,-111.22,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Fort.Mcmurray.AP.716890_CWEC2020.zip,854,192,28,19,6117
Fort Vermilion,58.38,-116.04,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Fort.Vermilion.710240_CWEC2020.zip,949,198,28,20,6207
Garden River,58.71,-113.87,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Garden.River.712530_CWEC2020.zip,801,186,28,19,6618
Grande Prairie AP,55.18,-118.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Grande.Prairie.AP.719400_CWEC2020.zip,736,198,32,19,5799
Hendrickson Creek,53.8,-118.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Hendrickson.Creek.719790_CWEC2020.zip,334,152,23,14,6542
High Level,58.62,-117.17,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_High.Level.710660_CWEC2020.zip,723,198,25,17,6862
High Prairie AgDM,55.4,-116.48,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_High.Prairie.AgDM.712260_CWEC2020.zip,715,214,26,17,5624
Holden AgDM,53.19,-112.25,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Holden.AgDM.712270_CWEC2020.zip,756,224,29,19,5573
Hussar AgDM,51.18,-112.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Hussar.AgDM.713440_CWEC2020.zip,737,234,30,19,5220
Iron Springs AgDM,49.9,-112.73,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Iron.Springs.AgDM.715280_CWEC2020.zip,966,244,30,20,4635
Jasper Warden,52.93,-118.03,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Jasper.Warden.714860_CWEC2020.zip,622,178,29,16,5529
Killam AgDM,52.85,-111.87,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Killam.AgDM.712280_CWEC2020.zip,796,228,30,19,5501
Lac La Biche Climate,54.77,-112.02,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lac.La.Biche.Climate.713160_CWEC2020.zip,752,214,27,18,5546
Lacombe CDA,52.45,-113.76,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lacombe.CDA.712420_CWEC2020.zip,726,223,27,20,5525
Lethbridge CDA,49.7,-112.77,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lethbridge.CDA.712430_CWEC2020.zip,1095,251,33,22,4325
Lethbridge Demo Farm AgDM,49.68,-112.75,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lethbridge.Demo.Farm.AgDM.715090_CWEC2020.zip,967,247,30,20,4562
Lloydminster AP,53.31,-110.07,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lloydminster.AP.718710_CWEC2020.zip,804,232,28,20,5741
Manning AgDM,56.97,-117.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Manning.AgDM.712290_CWEC2020.zip,743,219,28,18,6441
Masinasin AgDM,49.14,-111.65,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Masinasin.AgDM.713450_CWEC2020.zip,1086,255,33,18,4628
Medicine Hat RCS,50.03,-110.72,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Medicine.Hat.RCS.710260_CWEC2020.zip,1182,262,33,23,4668
Mildred Lake,57.04,-111.56,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Mildred.Lake.712550_CWEC2020.zip,883,192,28,20,5833
Milk River,49.13,-112.05,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Milk.River.712440_CWEC2020.zip,933,254,32,18,4799
Morrin AgDM,51.66,-112.67,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Morrin.AgDM.712570_CWEC2020.zip,770,225,31,19,5427
Mundare AgDM,53.57,-112.3,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Mundare.AgDM.713540_CWEC2020.zip,736,225,27,20,5703
Nakiska Ridgetop,50.94,-115.19,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Nakiska.Ridgetop.712450_CWEC2020.zip,110,192,18,11,7165
Nordegg CS,52.49,-116.04,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Nordegg.CS.710600_CWEC2020.zip,522,202,27,16,5718
Olds AgDM,51.76,-114.08,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Olds.AgDM.712580_CWEC2020.zip,620,221,27,19,5133
Oliver AgDM,53.65,-113.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Oliver.AgDM.713510_CWEC2020.zip,803,222,27,20,5272
Onefour CDA,49.12,-110.47,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Onefour.CDA.711160_CWEC2020.zip,1081,265,34,19,4880
Oyen AgDM,51.38,-110.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Oyen.AgDM.713420_CWEC2020.zip,881,221,30,19,5436
Peace River AP,56.23,-117.45,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Peace.River.AP.710680_CWEC2020.zip,735,212,30,19,6029
Peoria AgDM,55.62,-118.29,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Peoria.AgDM.713480_CWEC2020.zip,700,204,26,19,5842
Pincher Creek,49.52,-114,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Pincher.Creek.710850_CWEC2020.zip,807,258,28,18,4760
Pollockville AgDM,51.13,-111.71,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Pollockville.AgDM.712590_CWEC2020.zip,966,232,31,20,5362
Prentiss,52.43,-113.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Prentiss.713530_CWEC2020.zip,648,219,27,19,5348
Raymond AgDM,49.48,-112.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Raymond.AgDM.715360_CWEC2020.zip,930,252,29,21,4522
Red Deer Regional AP,52.18,-113.89,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Red.Deer.Regional.AP.718780_CWEC2020.zip,713,220,27,19,5627
Red Earth,56.55,-115.28,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Red.Earth.712460_CWEC2020.zip,718,205,28,18,6140
Rich Lake AgDM,54.5,-111.7,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Rich.Lake.AgDM.713490_CWEC2020.zip,696,218,28,19,5916
Rocky Mtn House AUT,52.42,-114.91,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Rocky.Mtn.House.AUT.719280_CWEC2020.zip,617,221,28,17,5896
Schuler AgDM,50.31,-110.09,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Schuler.AgDM.712690_CWEC2020.zip,959,246,30,19,5203
Seven Persons AgDM,49.92,-110.92,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Seven.Persons.AgDM.715250_CWEC2020.zip,1002,252,29,21,4903
Slave Lake,55.29,-114.78,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Slave.Lake.713690_CWEC2020.zip,671,204,27,18,5832
Smoky Lake AgDM,54.28,-112.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Smoky.Lake.AgDM.712740_CWEC2020.zip,646,228,25,19,5852
Spirit River Auto Station,55.69,-119.23,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Spirit.River.Auto.Station.715710_CWEC2020.zip,472,189,24,18,5738
St Paul AgCM,54.01,-111.27,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_St.Paul.AgCM.712750_CWEC2020.zip,693,219,28,19,5851
Stavely Aafc,50.18,-113.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Stavely.Aafc.715550_CWEC2020.zip,699,241,27,16,4917
Stettler AgDM,52.35,-112.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Stettler.AgDM.712890_CWEC2020.zip,697,226,29,19,5370
Strathmore AgDM,51.03,-113.28,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Strathmore.AgDM.715260_CWEC2020.zip,746,234,27,18,4977
Sundre AP,51.78,-114.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Sundre.AP.712480_CWEC2020.zip,684,217,28,18,5578
Three Hills,51.77,-113.21,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Three.Hills.712490_CWEC2020.zip,748,226,29,19,5455
Two Hills AgDM,53.63,-111.68,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Two.Hills.AgDM.712760_CWEC2020.zip,727,220,27,19,5673
Valleyview AgDM,55.1,-117.2,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Valleyview.AgDM.712770_CWEC2020.zip,691,213,26,19,5425
Vauxhall CDA CS,50.05,-112.13,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Vauxhall.CDA.CS.712510_CWEC2020.zip,1033,258,32,25,4803
Vegreville,53.51,-112.1,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Vegreville.714580_CWEC2020.zip,821,219,28,20,5579
Vermilion AgDM,53.34,-110.88,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Vermilion.AgDM.712780_CWEC2020.zip,786,220,29,20,5561
Violet Grove CS,53.14,-115.13,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Violet.Grove.CS.710620_CWEC2020.zip,696,209,29,19,5252
Wainwright CFB Airfield,52.83,-111.1,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Wainwright.CFB.Airfield.711180_CWEC2020.zip,889,218,30,19,5514
Waterton Park Gate,49.13,-113.81,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Waterton.Park.Gate.711540_CWEC2020.zip,786,231,30,18,4694
Whitecourt AP,54.14,-115.79,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Whitecourt.AP.719300_CWEC2020.zip,662,218,28,19,5604
Willow Creek,53.39,-118.35,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Willow.Creek.712520_CWEC2020.zip,367,154,24,14,6616
Wrentham AgDM,49.5,-112.12,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Wrentham.AgDM.713430_CWEC2020.zip,902,255,31,18,4601
Abbotsford AP,49.03,-122.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Abbotsford.AP.711080_CWEC2020.zip,1049,212,30,20,2961
Agassiz RCS,49.24,-121.76,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Agassiz.RCS.711130_CWEC2020.zip,1122,177,30,20,2989
Ballenas Island,49.35,-124.16,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Ballenas.Island.717690_CWEC2020.zip,988,227,24,20,2578
Blue River CS,52.13,-119.29,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Blue.River.CS.718830_CWEC2020.zip,692,168,31,19,5086
Bonilla Island AUT,53.49,-130.64,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Bonilla.Island.AUT.714840_CWEC2020.zip,299,130,16,16,3497
Burns Lake Decker Lake,54.38,-125.96,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Burns.Lake.Decker.Lake.719520_CWEC2020.zip,499,164,26,17,5775
Callaghan Valley,50.14,-123.11,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Callaghan.Valley.716880_CWEC2020.zip,493,186,29,16,4756
Cape St James,51.94,-131.02,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Cape.St.James.711070_CWEC2020.zip,362,135,16,15,3380
Cathedral Point AUT,52.19,-127.47,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Cathedral.Point.AUT.714820_CWEC2020.zip,636,131,23,17,3495
Clinton AUT,51.12,-121.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Clinton.AUT.714740_CWEC2020.zip,661,178,30,17,5207
Comox AP,49.72,-124.9,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Comox.AP.718930_CWEC2020.zip,944,208,25,18,2994
Cranbrook AP,49.61,-115.78,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Cranbrook.AP.718800_CWEC2020.zip,975,235,31,18,4519
Creston Campbell Scientific,49.08,-116.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Creston.Campbell.Scientific.717700_CWEC2020.zip,1225,239,32,23,3764
Cumshewa Island,53.03,-131.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Cumshewa.Island.717710_CWEC2020.zip,401,114,17,15,3365
Dawson Creek AP,55.74,-120.18,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Dawson.Creek.AP.714710_CWEC2020.zip,772,201,31,18,5715
Dease Lake AUT,58.43,-130.03,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Dease.Lake.AUT.712220_CWEC2020.zip,359,115,24,14,6887
Discovery Island,48.42,-123.23,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Discovery.Island.710310_CWEC2020.zip,652,232,24,24,2723
Entrance Island,49.21,-123.81,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Entrance.Island.717720_CWEC2020.zip,953,222,22,18,2588
Esquimalt Harbour,48.43,-123.44,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Esquimalt.Harbour.717980_CWEC2020.zip,649,228,24,16,2986
Estevan Point CS,49.38,-126.54,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Estevan.Point.CS.718940_CWEC2020.zip,534,176,18,17,3087
Fanny Island,50.45,-125.99,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fanny.Island.715680_CWEC2020.zip,411,167,18,15,3389
Fort Nelson AP,58.84,-122.6,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.Nelson.AP.719450_CWEC2020.zip,719,151,28,17,6639
Fort St John AP,56.24,-120.74,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John.AP.719430_CWEC2020.zip,653,197,27,18,5842
Grey Islet AUT,54.58,-130.7,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.AUT.714760_CWEC2020.zip,370,118,17,15,3638
Herbert Island AUT,50.94,-127.63,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Herbert.Island.AUT.714850_CWEC2020.zip,275,118,15,14,3382
Holland Rock,54.17,-130.36,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Holland.Rock.712190_CWEC2020.zip,309,106,15,13,3606
Hope AP,49.37,-121.5,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Hope.AP.711870_CWEC2020.zip,1178,184,30,20,3062
Howe Sound Pam Rocks,49.49,-123.3,https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Howe.Sound.Pam.Rocks.712110_CWEC2020.zip,1017,208,23,19,2714
