Seq,City,Region,DegDay,DHDBT,DHWBT,Strange,OHR,DGTEMP,JanWind,JulWind,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
71,Chetwynd,BC,5500,-35,27,14,9,5,9,8,-11,-8,-2,5,10,13,15,15,10,4,-6,-9
72,Chilliwack,BC,2780,-9,30,11,11,11,13,12,2,5,7,10,13,16,18,18,16,11,6,3
73,Cloverdale,BC,2700,-8,29,10,11,11,9,7,4,5,8,11,14,16,18,19,16,11,6,3
74,Comox,BC,3100,-7,27,8,9,10,13,12,4,4,6,9,12,15,18,18,14,10,6,4
75,Courtenay,BC,3100,-7,28,8,9,10,13,12,4,4,6,9,12,15,18,18,14,10,6,4
76,Cranbrook,BC,4400,-26,32,13,7,9,6,11,-6,-3,2,7,11,15,19,18,13,6,-1,-7
77,Crescent Valley,BC,3650,-18,31,17,10,10,9,8,-4,-1,4,8,13,16,19,19,14,8,1,-3
78,Crofton,BC,2880,-4,28,13,10,11,8,10,2,4,5,8,12,14,18,18,15,10,6,4
79,Dawson Creek,BC,5900,-38,27,13,9,5,10,10,-15,-11,-5,4,9,13,15,14,10,4,-7,-12
80,Dease Lake,BC,6730,-37,24,11,7,4,7,7,-14,-12,-5,1,7,11,13,11,7,0,-10,-14
81,Dog Creek,BC,4800,-28,29,16,7,6,10,8,-9,-4,0,7,10,14,17,16,14,6,-3,-5
82,Duncan,BC,2980,-6,28,14,10,10,4,9,3,4,6,8,12,15,17,17,14,9,5,3
83,Elko,BC,4600,-28,30,14,9,9,10,8,-7,-3,1,6,11,15,18,18,13,6,-1,-6
84,Fernie,BC,4750,-27,30,15,9,8,10,8,-7,-4,0,5,10,13,16,16,11,5,-1,-6
85,Fort Nelson,BC,6710,-39,28,12,9,4,4,7,-21,-15,-8,3,10,15,17,15,9,0,-13,-18
86,Fort St. John,BC,5750,-35,26,10,10,5,14,12,-13,-9,-5,4,10,14,16,15,10,3,-7,-10
87,Glacier,BC,5800,-27,27,12,8,8,10,8,-10,-7,-2,2,6,10,13,13,8,2,-5,-9
88,Gold River,BC,3230,-8,31,13,8,11,4,9,1,3,5,8,12,15,18,18,15,9,4,2
89,Golden,BC,4750,-27,30,14,7,8,3,5,-10,-5,0,6,11,15,17,17,11,5,-2,-8
90,Grand Forks,BC,3820,-19,34,16,9,10,9,8,-5,-1,4,9,13,16,20,19,14,7,1,-4
91,Greenwood,BC,4100,-20,34,17,9,10,9,8,-8,-3,1,6,10,14,18,17,11,6,0,-5
92,Haney,BC,2840,-9,30,12,11,11,9,7,2,4,7,9,12,15,18,18,15,10,5,3
93,Hope,BC,3000,-13,31,10,10,11,15,13,2,4,7,10,13,16,19,19,16,10,5,2
94,Jordan River,BC,2900,-1,22,7,10,12,14,10,6,7,8,10,12,13,15,15,14,11,8,6
95,Kamloops,BC,3450,-23,34,13,9,10,10,10,-3,0,5,10,15,18,21,21,15,8,2,-2
96,Kaslo,BC,3830,-17,30,13,9,9,10,8,-3,-1,3,7,12,15,18,18,13,7,2,-2
97,Kelowna,BC,3400,-17,33,15,9,11,5,6,-3,-1,4,8,13,17,19,19,14,7,1,-3
98,Kimberley,BC,4650,-25,31,16,8,8,6,11,-7,-4,1,6,11,14,18,17,13,6,-2,-7
99,Kitimat Plant,BC,3750,-16,25,10,8,7,5,7,-2,0,4,7,11,14,17,17,13,8,2,-1
100,Kitimat Townsite,BC,3900,-16,24,10,8,9,5,7,-3,-1,3,6,10,14,16,16,12,7,2,-1
101,Ladner,BC,2600,-6,27,7,11,12,11,11,4,5,7,10,13,16,18,18,15,10,6,4
102,Ladysmith,BC,3000,-7,27,12,11,11,8,10,3,4,6,9,12,15,18,18,15,10,5,3
103,Langford,BC,2750,-4,27,10,11,12,10,8,6,6,8,10,12,15,16,16,15,11,8,6
104,Langley,BC,2700,-8,29,11,11,11,9,7,4,5,8,11,14,16,18,19,16,11,6,3
105,Lillooet,BC,3400,-21,34,13,9,11,14,23,-2,1,5,10,15,19,23,22,17,10,3,-1
106,Lytton,BC,3300,-17,35,12,9,11,14,23,-1,2,6,10,15,18,22,22,17,10,3,-2
107,Mackenzie,BC,5550,-34,27,12,8,5,7,7,-11,-7,-4,3,9,14,15,14,10,3,-4,-8
108,Masset,BC,3700,-5,17,7,10,10,14,15,1,3,4,6,8,10,13,13,12,9,5,3
109,McBride,BC,4980,-29,29,14,8,8,8,6,-7,-4,0,5,9,13,15,15,10,5,-2,-6
110,McLeod Lake,BC,5450,-35,27,12,8,5,7,7,-11,-7,-4,3,9,14,15,14,10,3,-4,-8
111,Merritt,BC,3900,-24,34,15,9,11,10,10,-4,-1,4,8,12,15,18,18,14,8,1,-4
112,Mission City,BC,2850,-9,30,10,11,11,10,8,2,5,7,10,13,15,18,18,16,11,6,3
113,Montrose,BC,3600,-16,32,17,10,10,8,8,-4,-1,3,8,13,17,20,20,14,7,2,-3
114,Nakusp,BC,3560,-20,31,12,10,9,5,5,-2,0,3,8,12,16,20,19,14,8,2,-1
115,Nanaimo,BC,3000,-6,27,9,11,11,8,10,2,4,5,8,12,14,18,18,15,10,6,4
116,Nelson,BC,3500,-18,31,13,10,10,10,8,-1,1,4,8,12,16,20,20,15,8,3,-1
117,New Westminster,BC,2800,-8,29,10,10,11,9,7,2,5,6,9,12,15,18,18,15,11,6,4
118,North Vancouver,BC,2910,-7,26,10,11,11,7,8,4,5,7,10,13,15,18,18,15,10,6,3
119,Ocean Falls,BC,3400,-10,23,7,10,8,18,13,1,2,4,6,10,13,15,16,14,9,4,2
120,Osoyoos,BC,3100,-14,35,15,10,12,7,6,-1,2,6,11,15,19,23,22,17,10,3,-1
121,Parksville,BC,3200,-6,26,9,11,12,8,10,4,5,6,9,12,15,18,18,14,10,6,3
122,Penticton,BC,3350,-15,33,13,9,11,14,9,-1,1,5,9,14,18,21,20,15,9,3,-1
123,Port Alberni,BC,3100,-5,31,13,9,10,4,9,2,3,6,9,12,15,18,18,15,10,5,2
124,Port Alice,BC,3010,-3,26,9,8,11,4,9,4,5,6,8,11,13,16,16,14,10,6,4
125,Port Hardy,BC,3440,-5,20,7,10,10,15,9,4,4,6,7,10,12,14,14,12,9,6,4
126,Port McNeill,BC,3410,-5,22,8,10,10,15,9,4,4,5,8,10,12,14,14,13,10,6,4
127,Port Renfrew,BC,2900,-3,24,9,9,11,14,10,3,5,6,8,11,13,15,15,13,10,6,4
128,Powell River,BC,3100,-7,26,8,10,11,7,7,4,5,7,9,13,16,18,18,16,11,7,4
129,Prince George,BC,4720,-32,28,12,9,6,10,8,-8,-5,0,5,10,14,16,15,10,4,-3,-7
130,Prince Rupert,BC,3900,-13,19,6,9,10,14,10,2,3,4,6,9,12,13,14,12,8,4,3
131,Princeton,BC,4250,-24,33,16,8,10,2,7,-5,-3,2,7,11,15,19,18,14,6,-1,-5
132,Qualicum Beach,BC,3200,-7,27,10,11,10,8,10,3,4,6,8,12,15,17,17,13,9,5,3
133,Queen Charlotte City,BC,3520,-6,21,5,9,10,17,11,4,4,5,7,9,12,14,15,13,9,6,4
134,Quesnel,BC,4650,-31,30,14,7,6,6,5,-7,-4,1,6,11,15,17,16,11,6,-2,-6
135,Revelstoke,BC,4000,-20,31,12,9,9,5,5,-4,-2,2,8,13,16,19,18,13,7,1,-3
136,Richmond,BC,2800,-7,27,7,11,11,11,11,4,5,7,10,13,16,18,18,15,10,6,4
137,Salmon Arm,BC,3650,-19,33,14,11,10,4,5,-2,0,4,9,13,17,21,20,14,8,2,-2
138,Sandspit,BC,3450,-4,18,5,9,11,22,16,4,4,5,7,9,12,14,15,13,9,6,4
139,Sechelt,BC,2680,-6,27,9,12,12,8,10,4,5,6,9,12,14,17,17,14,10,6,5
140,Sidney,BC,2850,-4,26,10,10,12,10,8,5,5,7,9,12,15,17,17,14,10,6,4
141,Smith River,BC,7100,-45,26,11,8,4,5,10,-25,-16,-10,0,7,13,14,13,7,-1,-13,-21
142,Smithers,BC,5040,-29,26,12,8,6,7,6,-8,-4,0,5,9,13,15,14,10,4,-2,-7
143,Sooke,BC,2900,-1,21,6,9,11,11,12,5,5,7,8,10,12,14,14,13,9,6,4
144,Squamish,BC,2950,-9,29,11,11,11,5,6,2,4,6,9,12,15,18,18,15,9,4,2
145,Stewart,BC,4350,-17,25,9,8,8,3,4,-4,-1,2,6,10,14,15,14,11,6,1,-3
146,Surrey (88 Ave & 156 St.),BC,2750,-8,29,11,11,12,9,7,4,5,8,11,14,16,18,19,16,11,6,3
147,Tahsis,BC,3150,-4,26,12,10,11,4,9,2,4,6,8,12,15,18,19,15,10,5,2
148,Taylor,BC,5720,-35,26,13,10,5,14,12,-13,-9,-5,4,10,14,16,15,10,3,-7,-10
149,Terrace,BC,4150,-19,27,9,8,7,18,12,-3,-1,2,6,10,14,16,16,12,6,1,-2
150,Tofino,BC,3150,-2,20,8,10,11,10,9,5,5,6,8,10,12,14,15,13,10,7,5
151,Trail,BC,3600,-14,33,14,9,10,8,8,-3,0,4,9,13,17,20,20,15,8,2,-2
152,Ucluelet,BC,3120,-2,18,5,11,11,18,13,6,6,7,9,11,13,14,15,14,11,8,6
153,Vancouver (city hall),BC,2825,-7,28,7,11,11,11,11,3,5,6,9,12,15,18,18,15,10,6,4
154,Vancouver (Granville & 41 Ave),BC,2925,-6,28,9,11,12,11,11,3,5,6,9,12,15,18,18,15,10,6,4
155,Vernon,BC,3600,-20,33,13,9,10,10,12,-3,0,4,9,13,17,21,20,15,8,2,-2
156,Victoria,BC,2650,-4,24,10,9,12,15,15,6,6,8,10,12,15,16,16,15,11,8,6
157,Victoria Gonzales Height,BC,2700,-4,24,7,9,12,15,15,6,6,8,10,12,15,16,16,15,11,8,6
158,Victoria Mt Tolmie,BC,2700,-6,24,9,8,13,7,6,6,6,8,10,13,16,19,18,16,11,7,5
159,West Vancouver,BC,2950,-7,28,9,10,12,5,4,4,5,7,9,12,15,18,18,15,10,6,4
160,Whistler,BC,4180,-17,30,14,11,9,3,5,-3,-1,2,6,10,13,16,16,12,7,1,-3
161,White Rock,BC,2620,-5,25,8,13,12,7,5,5,6,8,10,13,16,18,18,15,11,7,5
162,Williams Lake,BC,4400,-30,29,12,7,7,10,8,-7,-4,0,5,10,13,16,15,11,5,-3,-7
163,Youbou,BC,3050,-5,31,12,9,10,4,9,3,4,6,8,12,15,17,18,15,10,5,3
164,Beausejour,MB,5680,-33,29,13,15,6,13,11,-18,-14,-6,4,12,17,19,18,12,5,-5,-15
165,Boissevain,MB,5500,-32,30,12,15,6,14,12,-17,-13,-5,4,12,17,19,18,13,6,-4,-13
166,Brandon,MB,5760,-33,30,13,13,6,15,12,-17,-13,-6,4,11,16,18,18,12,4,-6,-14
167,Churchill,MB,8950,-38,25,8,10,-1,22,18,-27,-25,-19,-10,-1,7,12,12,6,-1,-13,-22
168,Dauphin,MB,5900,-33,30,12,13,5,15,13,-16,-12,-6,4,11,16,19,18,12,5,-6,-13
169,Flin Flon,MB,6440,-38,27,10,12,4,9,11,-20,-15,-8,2,10,16,19,17,10,3,-8,-18
170,Gimli,MB,5800,-34,29,11,15,6,15,13,-17,-14,-7,3,10,16,19,18,12,5,-5,-14
171,Island Lake,MB,6900,-36,27,9,12,4,10,10,-22,-19,-11,-1,8,14,18,17,10,2,-8,-17
172,Lac du Bonnet,MB,5730,-34,29,12,15,6,8,8,-17,-13,-6,3,10,16,19,18,13,5,-4,-11
173,Lynn Lake,MB,7770,-40,27,11,11,2,11,11,-24,-20,-13,-3,6,13,16,15,8,-1,-13,-21
174,Morden,MB,5400,-31,30,12,16,7,13,11,-16,-12,-5,5,13,18,20,19,13,6,-4,-12
175,Neepawa,MB,5760,-32,29,12,15,6,15,12,-17,-13,-6,3,12,17,19,18,12,5,-5,-14
176,Pine Falls,MB,5900,-34,28,12,16,6,9,9,-19,-15,-7,4,12,16,19,18,12,5,-5,-16
177,Portage la Prairie,MB,5600,-31,30,12,15,6,14,11,-15,-12,-5,5,12,17,20,19,12,5,-6,-13
178,Rivers,MB,5840,-34,29,14,15,6,16,15,-14,-14,-5,5,13,17,19,17,12,4,-6,-14
179,Sandilands,MB,5650,-32,29,13,15,6,15,13,-17,-12,-5,4,12,17,19,18,12,5,-6,-13
180,Selkirk,MB,5700,-33,29,12,15,6,13,11,-17,-13,-6,4,12,17,20,19,13,6,-5,-14
181,Split Lake,MB,7900,-38,27,11,11,1,13,13,-24,-21,-13,-3,6,13,16,15,8,0,-13,-22
182,Steinbach,MB,5700,-33,29,13,15,6,16,14,-17,-13,-6,4,12,17,19,18,12,5,-5,-14
183,Swan River,MB,6100,-34,29,13,14,5,12,10,-17,-14,-8,3,10,15,18,17,12,4,-6,-13
184,The Pas,MB,6480,-36,28,10,13,5,13,13,-19,-16,-9,1,9,15,18,17,11,3,-8,-16
185,Thompson,MB,7600,-40,27,13,11,2,11,11,-24,-20,-12,-2,6,13,16,15,8,0,-12,-21
186,Virden,MB,5620,-33,30,13,15,6,16,15,-17,-12,-5,4,12,17,19,18,12,5,-5,-14
187,Winnipeg,MB,5670,-33,30,12,15,6,18,15,-16,-13,-6,4,12,17,20,19,13,5,-5,-13
188,Alma,NB,4500,-21,26,10,12,7,18,16,-7,-7,-2,4,9,14,17,17,13,8,3,-4
189,Bathurst,NB,5020,-23,30,11,13,7,17,12,-11,-10,-4,2,10,16,19,18,13,7,1,-8
190,Campbellton,NB,5500,-26,29,11,14,7,16,12,-13,-10,-4,2,9,16,19,17,12,6,0,-9
191,Edmundston,NB,5320,-27,28,12,14,7,13,9,-13,-12,-4,2,10,16,19,17,12,6,-1,-10
192,Fredericton,NB,4670,-24,29,12,14,8,13,10,-10,-8,-2,4,11,16,19,19,14,8,2,-6
193,Gagetown,NB,4460,-24,29,11,14,8,14,11,-9,-7,-2,5,11,16,20,19,14,8,2,-5
194,Grand Falls,NB,5300,-27,28,11,14,7,13,9,-13,-11,-5,3,11,15,18,17,12,6,-1,-10
195,Miramichi,NB,4950,-24,30,11,13,7,14,12,-10,-9,-3,3,10,15,19,18,13,7,0,-8
196,Moncton,NB,4680,-23,28,11,13,8,19,13,-9,-8,-3,3,10,15,19,18,14,8,2,-5
197,Oromocto,NB,4650,-24,29,11,14,8,13,11,-9,-8,-2,5,11,16,19,19,14,8,2,-5
198,Sackville,NB,4590,-22,27,10,13,8,19,17,-8,-7,-2,4,9,14,18,18,14,8,2,-4
199,Saint Andrews,NB,4680,-22,25,10,13,8,15,8,-8,-7,-2,4,10,14,17,17,13,8,3,-4
200,Saint George,NB,4680,-21,25,11,13,8,13,7,-8,-7,-2,5,11,16,18,18,14,8,2,-5
201,Saint John,NB,4570,-22,25,10,13,7,18,13,-8,-7,-2,4,10,14,17,17,13,8,3,-4
202,Shippagan,NB,4930,-22,28,9,13,2,22,13,-10,-10,-4,2,9,15,19,18,14,7,1,-5
203,St. Stephen,NB,4700,-24,28,13,14,7,8,6,-8,-7,-2,5,11,16,18,18,14,8,2,-5
204,Woodstock,NB,4910,-26,30,13,13,8,13,10,-12,-10,-3,4,11,16,19,18,13,7,0,-8
205,Argentia,NL,4600,-12,21,5,12,8,29,18,-3,-3,-1,3,6,10,14,16,13,9,5,1
206,Bonavista,NL,5000,-14,24,7,12,7,39,25,-5,-5,-3,1,6,10,15,16,12,8,3,-1
207,Buchans,NL,5250,-24,27,9,12,6,24,17,-8,-9,-5,1,7,12,16,16,11,5,0,-5
208,Cape Harrison,NL,6900,-29,26,8,7,5,24,17,-16,-15,-10,-3,3,7,12,12,9,3,-3,-10
209,Cape Race,NL,4900,-11,19,5,13,7,34,22,-3,-4,-2,1,4,8,12,15,12,8,4,0
210,Channel-Port aux Basques,NL,5000,-13,19,6,13,7,32,19,-5,-6,-3,1,5,9,14,15,12,7,3,-2
211,Corner Brook,NL,4760,-16,26,9,12,8,12,9,-7,-7,-4,2,8,13,17,17,13,7,2,-3
212,Gander,NL,5110,-18,27,9,12,7,24,17,-7,-7,-4,2,7,12,16,16,12,6,1,-4
213,Grand Bank,NL,4550,-14,20,7,12,8,29,18,-4,-5,-2,2,6,11,15,16,13,8,4,0
214,Grand Falls,NL,5020,-26,27,11,12,7,24,17,-8,-8,-4,2,8,13,17,17,12,6,1,-4
215,Happy Valley-Goose Bay,NL,6670,-31,27,10,11,5,17,13,-18,-16,-9,-1,6,11,15,15,10,3,-4,-13
216,Labrador City,NL,7710,-36,24,10,9,3,14,13,-23,-21,-14,-5,4,10,14,12,7,0,-9,-19
217,St. Anthony,NL,6440,-25,22,7,11,5,27,20,-11,-11,-7,-1,4,8,13,14,10,4,-1,-7
218,St. John's,NL,4800,-15,24,8,13,7,28,21,-5,-5,-3,2,6,11,16,16,12,7,3,-2
219,Stephenville,NL,4850,-16,24,7,12,8,25,14,-6,-7,-4,3,8,12,16,17,13,8,3,-2
220,Twin Falls,NL,7790,-35,24,9,9,4,14,12,-22,-21,-13,-4,4,10,14,13,8,1,-8,-17
221,Wabana,NL,4750,-15,24,8,13,7,27,20,-5,-5,-3,2,6,11,16,16,12,7,3,-2
222,Wabush,NL,7710,-36,24,10,9,3,14,13,-23,-21,-14,-5,4,10,14,12,7,0,-9,-19
223,Amherst,NS,4500,-21,27,9,13,8,19,17,-8,-6,-2,4,10,15,18,18,14,8,3,-3
224,Antigonish,NS,4510,-17,27,11,13,8,18,15,-7,-5,-2,4,9,14,19,18,14,8,4,-2
225,Bridgewater,NS,4140,-15,27,13,12,7,19,15,-5,-5,0,5,10,15,19,19,14,8,4,-2
226,Canso,NS,4400,-13,25,6,13,8,23,17,-3,-4,-1,3,7,12,17,18,16,10,5,1
227,Dartmouth,NS,4100,-16,26,8,12,8,18,11,-5,-4,-1,4,9,14,18,18,15,10,5,-1
228,Debert,NS,4500,-21,27,12,13,7,17,12,-7,-6,-2,4,10,15,19,18,14,8,3,-4
229,Digby,NS,4020,-15,25,9,13,9,18,14,-4,-4,0,5,11,15,18,18,14,9,5,-1
230,Greenwood (CFB),NS,4140,-18,29,11,14,7,18,12,-5,-5,-1,5,11,16,20,19,15,9,4,-2
231,Halifax,NS,4000,-16,26,8,12,8,18,11,-5,-4,-1,4,9,14,18,18,15,10,5,-1
232,Kentville,NS,4130,-18,28,11,13,9,12,8,-4,-3,0,5,11,17,20,19,16,9,4,-1
233,Liverpool,NS,3990,-16,27,7,12,9,22,15,-4,-3,0,4,8,12,15,16,14,10,5,0
234,Lockeport,NS,4000,-14,25,6,13,9,22,15,2,2,1,0,-1,-1,-2,-1,0,1,1,2
235,Louisburg,NS,4530,-15,26,8,12,8,22,18,-5,-5,-2,2,7,12,16,17,14,9,4,-2
236,Lunenburg,NS,4140,-15,26,7,12,8,22,15,-4,-3,0,4,8,12,15,16,14,10,5,0
237,New Glasgow,NS,4320,-19,27,11,13,7,19,15,-7,-7,-2,3,10,16,19,18,14,8,3,-3
238,North Sydney,NS,4500,-16,27,10,13,8,21,16,-5,-6,-3,2,8,13,18,18,14,9,4,-2
239,Pictou,NS,4310,-19,27,10,13,8,19,15,-7,-7,-2,3,9,16,19,19,14,8,3,-2
240,Port Hawkesbury,NS,4500,-17,27,9,13,8,19,13,-6,-8,-3,3,8,14,18,18,14,9,4,-3
241,Springhill,NS,4540,-20,27,9,13,7,19,17,-7,-7,-3,3,10,15,19,18,14,8,2,-4
242,Stewiacke,NS,4400,-20,27,11,13,7,19,14,-5,-4,-1,5,11,15,19,19,14,8,3,-2
243,Sydney,NS,4530,-16,27,9,13,8,21,16,-5,-6,-3,2,8,13,18,18,14,9,4,-2
